epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,3067.3,0.61449,0.54688,1.06779,0.78789,0.68395,0.7516,0.5696,0.81428,0.81199,1.25953,0.0003796,0.0003796,0.0003796
96,3099.8,0.61175,0.54805,1.06119,0.74146,0.72671,0.75345,0.57538,0.81206,0.87335,1.26768,0.000373,0.000373,0.000373
97,3132.83,0.61133,0.53184,1.06152,0.73001,0.71108,0.696,0.53009,0.81647,0.97888,1.27602,0.0003664,0.0003664,0.0003664
98,3164.74,0.62227,0.53165,1.06205,0.77326,0.70911,0.76076,0.58211,0.78767,0.82443,1.23752,0.0003598,0.0003598,0.0003598
99,3197.64,0.61224,0.53474,1.06265,0.79839,0.66902,0.76174,0.5703,0.81893,0.84512,1.27069,0.0003532,0.0003532,0.0003532
100,3229.32,0.61114,0.53406,1.05827,0.7646,0.70788,0.77583,0.58743,0.80637,0.84535,1.24284,0.0003466,0.0003466,0.0003466
101,3262.04,0.60825,0.52391,1.061,0.7701,0.70047,0.74923,0.5611,0.8076,0.85982,1.25765,0.00034,0.00034,0.00034
102,3295.33,0.60026,0.51944,1.05212,0.77213,0.72446,0.77091,0.58752,0.79426,0.89783,1.24114,0.0003334,0.0003334,0.0003334
103,3328.16,0.61439,0.52641,1.06096,0.77919,0.74193,0.78716,0.59093,0.82118,0.7803,1.2714,0.0003268,0.0003268,0.0003268
104,3362.46,0.60135,0.51629,1.04921,0.81442,0.71266,0.78461,0.5835,0.8242,0.80477,1.29658,0.0003202,0.0003202,0.0003202
105,3396.55,0.61277,0.50824,1.05226,0.77715,0.70345,0.77215,0.58928,0.79281,0.83232,1.2426,0.0003136,0.0003136,0.0003136
106,3430.35,0.6023,0.5118,1.0575,0.76996,0.7062,0.77937,0.59113,0.81257,0.80009,1.26912,0.000307,0.000307,0.000307
107,3464.45,0.58989,0.4996,1.04096,0.8056,0.67021,0.75803,0.57675,0.8131,0.87434,1.26695,0.0003004,0.0003004,0.0003004
108,3497.39,0.57429,0.48812,1.03913,0.79853,0.68729,0.74333,0.56445,0.81401,0.90324,1.27971,0.0002938,0.0002938,0.0002938
109,3530.64,0.58385,0.48667,1.03936,0.76519,0.73587,0.77225,0.58986,0.79692,0.83466,1.25143,0.0002872,0.0002872,0.0002872
110,3564.68,0.57398,0.48658,1.04608,0.82113,0.65886,0.75993,0.58603,0.80294,0.83735,1.25216,0.0002806,0.0002806,0.0002806
